Scan Mz Intensity
161 56.0501 0.06770226050325347
161 58.0656 0.312182645653891
161 60.0812 0.4137360364087712
161 62.4783 0.14292699439575732
202 58.0631 0.021654967702407928
202 58.0653 0.04911980478838871
202 60.0812 0.6866209271495196
202 70.0652 0.07394379215456365
202 71.0733 0.05123248456423339
202 73.0287 0.08450719103378704
228 51.3477 0.0941588476278578
228 60.0814 0.5781683626271971
228 71.0734 0.15362759349808378
228 71.6741 0.1453680454605524
393 55.0547 0.017121116043119847
393 69.0701 0.01120270555907842
393 72.0446 0.023250898330162757
393 79.0543 0.19446205876136125
393 83.0854 0.019234834073134643
393 89.071 0.13316423589093215
393 91.0541 0.027478334390192347
393 93.0699 0.023250898330162757
393 100.1121 0.4861551469034031
456 55.0183 0.010866818296689411
456 55.0547 0.015163002274450341
456 56.965 0.02021733636593379
456 57.0339 0.02779883750315896
456 66.7979 0.18953752843062927
456 67.0544 0.01389941875157948
456 69.0703 0.12635835228708617
456 79.0544 0.026535253980288095
456 81.0698 0.06317917614354308
456 83.0491 0.37907505686125853
768 55.0182 0.012239902080783354
768 55.0524 0.010607915136678907
768 55.0547 0.017135862913096694
768 57.0339 0.017135862913096694
768 57.0703 0.051407588739290085
768 59.0494 0.013055895552835577
768 67.0545 0.0277437780497756
768 69.0337 0.18767849857201144
768 69.0703 0.02284781721746226
768 71.0492 0.138718890248878
768 72.0446 0.037535699714402286
768 73.0286 0.02692778457772338
768 79.0544 0.3182374541003672
833 55.0547 0.027758970886932972
833 67.0545 0.01049424509140149
833 69.0702 0.024373730534867976
833 79.0543 0.01997291807718348
833 81.07 0.010832769126607989
833 83.0855 0.017603249830737983
833 83.4522 0.01049424509140149
833 89.0709 0.01049424509140149
833 91.0542 0.16926201760324983
833 93.07 0.08801624915368991
833 97.1012 0.023358158429248477
833 102.0216 0.012525389302640487
833 102.0838 0.5077860528097495
1017 55.0177 0.013102480112306972
1017 55.0203 0.011230697239120261
1017 55.0541 0.0271408516612073
1017 57.0334 0.11230697239120262
1017 67.0539 0.013102480112306972
1017 69.0702 0.10294805802526907
1017 72.0441 0.14038371548900327
1017 74.0964 0.0542817033224146
1017 79.0544 0.3837154890032756
2238 53.0391 0.014343635250917993
2238 55.0548 0.02103733170134639
2238 57.0339 0.1721236230110159
2238 58.2633 0.01625611995104039
2238 58.9954 0.012431150550795593
2238 59.0689 0.014343635250917993
2238 59.0735 0.011474908200734393
2238 61.011 0.022949816401468787
2238 62.0144 0.03824969400244798
2238 69.0339 0.024862301101591187
2238 69.0702 0.30599755201958384
2238 70.029 0.10327417380660955
2238 70.0653 0.01778610771113831
2238 70.0734 0.01625611995104039
2238 70.574 0.13196144430844553
2331 55.0548 0.03855474774179335
2331 56.0499 0.012667988543732099
2331 57.034 0.013218770654329148
2331 57.0451 0.2340823970037453
2331 58.0656 0.03304692663582287
2331 59.0735 0.030293016082837628
2331 60.0449 0.020378938092090768
2331 60.0563 0.015972681207314387
2331 60.0812 0.010189469046045384
2331 61.0289 0.011015642211940957
2331 67.0547 0.014595725930821767
2331 68.0499 0.010189469046045384
2331 69.0338 0.010464860101343908
2331 69.0664 0.012943379599030623
2331 69.0702 0.03855474774179335
2331 70.0654 0.02616215025335977
2331 70.0735 0.16523463317911435
2331 71.0495 0.025060586032165676
2331 71.0606 0.09363295880149813
2571 57.0339 0.07231006556112611
2571 58.0656 0.4290397223293482
2571 59.0734 0.011087543386039336
2571 59.5796 0.015426147319706903
2571 60.0559 0.057848052448900886
2571 60.0811 0.042421905129193985
2571 62.0604 0.10123409178557655
2571 63.0636 0.057848052448900886
2571 64.0645 0.04001156961048978
2571 66.4713 0.10605476282298495
2709 56.05 0.03637157197934095
2709 58.0656 0.8583690987124464
2709 60.0449 0.04946533789190369
4278 50.5502 0.06594625380315043
4278 51.4321 0.6144991831657199
4278 53.9422 0.014987784955261462
4278 54.0018 0.019484120441839902
4278 56.2792 0.03746946238815366
4278 57.0339 0.17985341946313754
5256 50.0742 0.022907933017203858
5256 53.039 0.012370283829290084
5256 55.0184 0.02084621904565551
5256 55.0547 0.016722791102558816
5256 55.5552 0.014890156461182507
5256 57.034 0.18326346413763087
5256 59.0494 0.09163173206881543
5256 62.9798 0.013973839140494354
5256 67.0546 0.5268824593956887
5784 50.0742 0.01380114089431393
5784 52.2314 0.14107832914187574
5784 55.0547 0.0950745261608293
5784 57.0238 0.014107832914187574
5784 57.5925 0.6747224437220144
6248 50.0744 0.013720666161998485
6248 55.0547 0.012301286903860712
6248 60.464 0.10881907645722937
